Signaller,IRS_1,IRS_3,Perc_IRS1,n_tokens,n_coms
ID01,37,23,61.66666666666667,150,88
ID02,26,17,43.333333333333336,161,108
ID03,28,13,46.666666666666664,119,82
ID04,23,14,38.333333333333336,134,72
ID05,23,9,38.333333333333336,101,56
ID06,25,11,41.66666666666667,89,61
ID07,19,8,31.666666666666664,46,26
ID08,34,15,56.666666666666664,126,78
ID09,36,13,60,132,73
ID10,23,8,38.333333333333336,65,34
ID11,32,18,53.333333333333336,155,61
ID12,21,16,35,115,77
ID13,20,9,33.33333333333333,64,40
ID14,15,5,25,55,30
ID15,45,22,75,267,141
ID16,43,23,71.66666666666667,254,133
ID17,19,6,31.666666666666664,41,32
ID18,27,14,45,109,60
ID19,37,19,61.66666666666667,171,79
ID20,30,14,50,125,74
ID21,43,26,71.66666666666667,233,111
ID22,30,9,50,74,37
ID23,13,3,21.666666666666668,25,11
ID24,14,4,23.333333333333332,33,16
ID25,5,1,8.333333333333332,12,10
ID26,9,2,15,16,7
ID27,3,1,5,5,5
